,run,accuracy,roc_auc,FNR,FPR,accuracy_diff,roc_auc_diff,FNR_diff,FPR_diff,fnr_chi2_pvalue,fpr_chi2_pvalue,beta2,beta2_pvalue,accuracy_corrected,roc_auc_corrected,FNR_corrected,FPR_corrected,accuracy_corrected_diff,roc_auc_corrected_diff,FNR_corrected_diff,FPR_corrected_diff
0,0,0.8839285714285714,0.9436855978912053,0.102803738317757,0.1282051282051282,0.034285714285714364,0.0063260979499747405,-0.1590909090909091,0.009627727856225926,0.41219297251224374,1.0,0.11869158262605574,0.24698613544049985,0.8839285714285714,0.9436855978912053,0.102803738317757,0.1282051282051282,0.034285714285714364,0.0063260979499747405,-0.1590909090909091,0.009627727856225926
1,1,0.8571428571428571,0.9221183800623054,0.14953271028037382,0.13675213675213677,-0.04615939415795167,-0.059570059570059564,0.16161616161616163,0.01282051282051283,0.47298107515192545,1.0,0.20280510533812757,0.0412165771563453,0.8392857142857143,0.8987938333732726,0.21495327102803738,0.1111111111111111,0.01202067556196662,-0.059570059570059564,0.23232323232323232,-0.14102564102564102
2,2,0.8794642857142857,0.9281092739036664,0.12149532710280374,0.11965811965811966,-0.01791080658733013,-0.034002147514900605,-0.07760989010989011,0.07501875468867217,0.6445002399084085,0.43502920396826095,-0.002198490493068011,0.9834479244789249,0.8794642857142857,0.9281092739036664,0.12149532710280374,0.11965811965811966,-0.01791080658733013,-0.034002147514900605,-0.07760989010989011,0.07501875468867217
3,3,0.8660714285714286,0.9248342519370557,0.102803738317757,0.1623931623931624,-0.06910569105691056,-0.022073268921094957,-0.11304347826086958,0.19166666666666665,0.37977943353983235,0.013243451799264434,0.270351181873433,0.010479131533815744,0.8571428571428571,0.9099768352104801,0.14953271028037382,0.13675213675213677,-0.013008130081300862,-0.022073268921094957,0.01884057971014494,0.005555555555555564
4,4,0.8928571428571429,0.9332215033149612,0.11214953271028037,0.10256410256410256,0.05403050108932461,0.05911477677466048,0.023674242424242417,-0.09522313010685104,1.0,0.18656869483260274,1.215615988509319,0.0,0.5491071428571429,0.6398274622573688,0.5327102803738317,0.37606837606837606,0.455119825708061,0.05911477677466048,0.59375,-0.9864864864864865
5,5,0.8705357142857143,0.9432862049684478,0.11214953271028037,0.1452991452991453,-0.07298474945533773,-0.054643001960211546,0.040098199672667756,0.1110397946084724,1.0,0.17664337287814524,0.30227269442008786,0.0031695489448038128,0.8392857142857143,0.9190031152647975,0.14953271028037382,0.17094017094017094,0.007843137254901933,-0.054643001960211546,0.1702127659574468,-0.07477535301668806
6,6,0.8571428571428571,0.9126527677929546,0.1588785046728972,0.1282051282051282,0.04370206954512024,0.02576008951701181,-0.2569558101472995,0.023349937733499374,0.04875935269855389,0.9358325919756778,0.5078725086937965,1.2389120693789835e-06,0.7767857142857143,0.8288201933061746,0.2616822429906542,0.18803418803418803,0.10064082361592608,0.02576008951701181,0.2103109656301146,-0.28144458281444584
7,7,0.84375,0.9235961338765076,0.12149532710280374,0.18803418803418803,0.03812636165577343,0.04059314341572395,-0.2711213517665131,0.09577922077922077,0.014045058492334428,0.31332627691436543,-0.022691258093445743,0.8181896208467929,0.84375,0.9235961338765076,0.12149532710280374,0.18803418803418803,0.03812636165577343,0.04059314341572395,-0.2711213517665131,0.09577922077922077
8,8,0.8258928571428571,0.890726096333573,0.16822429906542055,0.1794871794871795,0.043804479752841186,0.03547258297258293,-0.11647727272727271,-0.017142857142857126,0.5804479227300718,1.0,1.2225848806973638,0.0,0.5,0.6135474079399313,0.6261682242990654,0.38461538461538464,0.38309610504248043,0.03547258297258293,0.6979166666666666,-0.96
9,9,0.8526785714285714,0.9531911494528318,0.102803738317757,0.18803418803418803,0.08408748114630471,0.06014292904392138,-0.0719298245614035,-0.05035128805620609,0.7881678379060264,0.6458970263652548,0.22140415397267954,0.031748227212202496,0.8616071428571429,0.9098969566259285,0.09345794392523364,0.1794871794871795,0.16025641025641024,0.06014292904392138,0.011403508771929832,-0.20374707259953162
10,10,0.8839285714285714,0.9310647815320712,0.12149532710280374,0.1111111111111111,0.02415026833631484,0.014327877677042689,-0.2711213517665131,0.0866089273817455,0.014045058492334428,0.27931116758239827,0.2599050664123766,0.013350400905092874,0.8705357142857143,0.918763479511143,0.14953271028037382,0.1111111111111111,0.031753130590339906,0.014327877677042689,0.007680491551459306,-0.0692871419053964
11,11,0.8839285714285714,0.9468807412732645,0.1308411214953271,0.10256410256410256,0.044494720965309265,0.04959178647535567,-0.2248803827751196,0.03601440576230493,0.02376008985431884,0.7454375663565211,-0.06988836798460356,0.5217247779299838,0.8839285714285714,0.9468807412732645,0.1308411214953271,0.10256410256410256,0.044494720965309265,0.04959178647535567,-0.2248803827751196,0.03601440576230493
12,12,0.84375,0.9075005990893841,0.1308411214953271,0.1794871794871795,0.06252723311546837,0.07761840263958619,-0.2969072164948454,0.03268991282689912,0.030892327642176417,0.8433132026819876,-0.18295018495182888,0.0796603610602109,0.84375,0.9075005990893841,0.1308411214953271,0.1794871794871795,0.06252723311546837,0.07761840263958619,-0.2969072164948454,0.03268991282689912
13,13,0.8794642857142857,0.9336208962377187,0.1308411214953271,0.1111111111111111,-0.0037402244134647766,0.03951866846603691,-0.04035087719298244,0.01282051282051283,1.0,1.0,-1.2386606659965675,0.0,0.8303571428571429,0.8827382378784248,0.14018691588785046,0.19658119658119658,0.08500510030601838,0.03951866846603691,-0.968421052631579,0.2948717948717949
14,14,0.8883928571428571,0.9482386772106397,0.1308411214953271,0.09401709401709402,0.032562917308679995,0.06216077828981059,-0.013824884792626724,-0.06388888888888888,1.0,0.4085693508737379,0.1703829472823438,0.02852523535328677,0.8660714285714286,0.9179646936656283,0.14953271028037382,0.11965811965811966,0.09429892141756546,0.06216077828981059,0.007680491551459306,-0.16666666666666666
15,15,0.8705357142857143,0.9292275740873871,0.102803738317757,0.15384615384615385,-0.10853658536585364,-0.04097423510466991,0.042028985507246375,0.17777777777777776,0.9692414859335234,0.019828558618658544,0.06464271221127962,0.4778010668128534,0.8705357142857143,0.9292275740873871,0.102803738317757,0.15384615384615385,-0.10853658536585364,-0.04097423510466991,0.042028985507246375,0.17777777777777776
16,16,0.8794642857142857,0.954069813882898,0.06542056074766354,0.17094017094017094,-0.0037402244134647766,0.03963744588744589,-0.02840909090909091,0.06980519480519481,1.0,0.48861210256911536,0.4928358290693893,1.3363833319957052e-06,0.8080357142857143,0.8453550603083313,0.1308411214953271,0.24786324786324787,0.3353734557406777,0.03963744588744589,0.14583333333333334,-0.497077922077922
17,17,0.8794642857142857,0.9431264477993451,0.102803738317757,0.13675213675213677,0.005952380952380931,0.001560939060939237,-0.17307692307692307,0.09383116883116883,0.097737710492546,0.26375828659587786,-0.09472020227941441,0.36155204006451536,0.8794642857142857,0.9431264477993451,0.102803738317757,0.13675213675213677,0.005952380952380931,0.001560939060939237,-0.17307692307692307,0.09383116883116883
18,18,0.8705357142857143,0.9245946161834012,0.18691588785046728,0.07692307692307693,-0.028124999999999956,-0.005702291368052337,-0.14766483516483517,0.05978260869565218,0.29391841813345587,0.4003556951975277,0.1270696458415896,0.23459039566655382,0.8705357142857143,0.9245946161834012,0.18691588785046728,0.07692307692307693,-0.028124999999999956,-0.005702291368052337,-0.14766483516483517,0.05978260869565218
19,19,0.8794642857142857,0.936177010943366,0.1308411214953271,0.1111111111111111,-0.02083333333333337,-0.020159194282001303,-0.22807017543859648,0.12037037037037036,0.0795520532562613,0.11106071174918009,-0.45156547955292287,6.810538866197646e-08,0.8348214285714286,0.9082195063503475,0.18691588785046728,0.1452991452991453,0.10795454545454541,-0.020159194282001303,-0.9157894736842105,0.20987654320987653
20,20,0.8571428571428571,0.9173256649892164,0.11214953271028037,0.17094017094017094,-0.023809523809523836,0.004546595466932035,-0.0474631751227496,0.08642363293526086,0.968541075873384,0.3459161433495871,0.11840389167922354,0.17084238393881845,0.8571428571428571,0.9173256649892164,0.11214953271028037,0.17094017094017094,-0.023809523809523836,0.004546595466932035,-0.0474631751227496,0.08642363293526086
21,21,0.875,0.9391325185717709,0.16822429906542055,0.08547008547008547,0.00926845415425348,0.047338006546360445,-0.19202898550724637,0.04863424383744171,0.1411823234872149,0.5974404094249901,1.3577357505029666,0.0,0.5848214285714286,0.6823228692387571,0.4953271028037383,0.3418803418803419,0.3953437051748869,0.047338006546360445,0.5760869565217391,-0.9746835443037974
22,22,0.84375,0.9150091860372235,0.102803738317757,0.20512820512820512,0.010560193100673798,-0.007898267085653332,0.003092783505154628,0.050802139037433136,1.0,0.6570733813414187,-0.15783329076314462,0.05575922252276588,0.84375,0.9150091860372235,0.102803738317757,0.20512820512820512,0.010560193100673798,-0.007898267085653332,0.003092783505154628,0.050802139037433136
23,23,0.84375,0.9256729770748462,0.17757009345794392,0.13675213675213677,0.017670393076090862,0.04855461131234329,-0.24536082474226806,0.04189189189189188,0.13397875178198843,0.7459816982740084,0.06321261299854905,0.5449256507959772,0.84375,0.9256729770748462,0.17757009345794392,0.13675213675213677,0.017670393076090862,0.04855461131234329,-0.24536082474226806,0.04189189189189188
24,24,0.8794642857142857,0.9393721543254253,0.12149532710280374,0.11965811965811966,0.017479674796747946,0.059915458937198074,-0.3239130434782609,0.1222222222222222,0.0017217603043918135,0.09123290293957365,-0.5410130571113674,5.319293407968217e-07,0.8482142857142857,0.9019889767553319,0.18691588785046728,0.11965811965811966,0.13414634146341464,0.059915458937198074,-0.9456521739130435,0.19444444444444445
